date_gregorian,year,month,day,weekday_id,saptawara,pancawara,triwara,wuku,sasih,penanggal_panglong,is_purnama,is_tilem,is_kajeng_kliwon,rerainan,hari_penting,source_id,source_url,verification_status,privacy_level,notes
2026-01-03,2026,1,3,Sabtu,Saniscara,,,,Kepitu,Purnama,True,False,False,Purnama Kepitu,,SRC-001,https://kalenderbali.org/rerainan.php?bulan=1&tahun=2026 | https://kalenderbali.org/purnamatilem.php?tahun=2026,digital_source_only,public_mockup,"Mockup publik: tidak memakai identitas keluarga asli. Untuk keputusan adat penting, verifikasi dengan kalender cetak/sumber adat/pemangku."
2026-01-03,2026,1,3,Sabtu,Saniscara,,,,,,False,False,False,Tumpek Krulut,,SRC-001,https://kalenderbali.org/rerainan.php?bulan=1&tahun=2026,digital_source_only,public_mockup,"Mockup publik: tidak memakai identitas keluarga asli. Untuk keputusan adat penting, verifikasi dengan kalender cetak/sumber adat/pemangku."
2026-01-07,2026,1,7,Rabu,Buda,,,,,,False,False,False,Buda Wage Merakih,,SRC-001,https://kalenderbali.org/rerainan.php?bulan=1&tahun=2026,digital_source_only,public_mockup,"Mockup publik: tidak memakai identitas keluarga asli. Untuk keputusan adat penting, verifikasi dengan kalender cetak/sumber adat/pemangku."
2026-01-09,2026,1,9,Jumat,Sukra,,,,,,False,False,False,Hari Bhatara Sri,,SRC-001,https://kalenderbali.org/rerainan.php?bulan=1&tahun=2026,digital_source_only,public_mockup,"Mockup publik: tidak memakai identitas keluarga asli. Untuk keputusan adat penting, verifikasi dengan kalender cetak/sumber adat/pemangku."
2026-01-13,2026,1,13,Selasa,Anggara,,,,,,False,False,False,Anggar Kasih Tambir,,SRC-001,https://kalenderbali.org/rerainan.php?bulan=1&tahun=2026,digital_source_only,public_mockup,"Mockup publik: tidak memakai identitas keluarga asli. Untuk keputusan adat penting, verifikasi dengan kalender cetak/sumber adat/pemangku."
2026-01-13,2026,1,13,Selasa,Anggara,,,,,,False,False,True,Kajeng Keliwon Uwudan,,SRC-001,https://kalenderbali.org/rerainan.php?bulan=1&tahun=2026,digital_source_only,public_mockup,"Mockup publik: tidak memakai identitas keluarga asli. Untuk keputusan adat penting, verifikasi dengan kalender cetak/sumber adat/pemangku."
2026-01-17,2026,1,17,Sabtu,Saniscara,,,,,,False,False,False,Hari Siwa Ratri,,SRC-001,https://kalenderbali.org/rerainan.php?bulan=1&tahun=2026,digital_source_only,public_mockup,"Mockup publik: tidak memakai identitas keluarga asli. Untuk keputusan adat penting, verifikasi dengan kalender cetak/sumber adat/pemangku."
2026-01-18,2026,1,18,Minggu,Redite,,,,Kepitu,Tilem,False,True,False,Tilem Kepitu,,SRC-001,https://kalenderbali.org/rerainan.php?bulan=1&tahun=2026 | https://kalenderbali.org/purnamatilem.php?tahun=2026,digital_source_only,public_mockup,"Mockup publik: tidak memakai identitas keluarga asli. Untuk keputusan adat penting, verifikasi dengan kalender cetak/sumber adat/pemangku."
2026-01-20,2026,1,20,Selasa,Anggara,,,,,,False,False,False,Anggara Paing Medangkungan,,SRC-001,https://kalenderbali.org/rerainan.php?bulan=1&tahun=2026,digital_source_only,public_mockup,"Mockup publik: tidak memakai identitas keluarga asli. Untuk keputusan adat penting, verifikasi dengan kalender cetak/sumber adat/pemangku."
2026-01-28,2026,1,28,Rabu,Buda,,,,,,False,False,False,Buda Keliwon Matal,,SRC-001,https://kalenderbali.org/rerainan.php?bulan=1&tahun=2026,digital_source_only,public_mockup,"Mockup publik: tidak memakai identitas keluarga asli. Untuk keputusan adat penting, verifikasi dengan kalender cetak/sumber adat/pemangku."
